식품명,식품대분류명,에너지(kcal),단백질(g),당류(g),포화지방산(g),나트륨(mg),식이섬유(g),score_energy,score_sugar,score_satfat,score_sodium,food_group_score,kfni_total_score,kfni_grade
프레즐_초코 프레즐,빵 및 과자류,407,6.4,8.0,12.8,900.0,,3,2,3,3,5,16,E
크림빵_슈크림빵,빵 및 과자류,312,8.24,15.29,5.88,259.0,,3,3,2,1,5,14,E
크로켓(고로케)_중화잡채 고로케,빵 및 과자류,369,7.69,7.69,5.13,454.0,,3,2,2,2,5,14,E
크로켓(고로케)_잡채 고로케,빵 및 과자류,312,7.41,7.41,4.07,449.0,,3,2,2,2,5,14,E
크로켓(고로케)_어니언크림치즈 고로케,빵 및 과자류,338,7.69,14.1,6.03,372.0,,3,3,2,2,5,15,E
샌드위치_잠봉뵈르 샌드위치,빵 및 과자류,418,8.84,0.5,14.14,575.0,,3,0,3,3,5,14,E
크림빵_동글동글순우유롤,빵 및 과자류,361,7.54,11.88,10.14,330.0,,3,2,3,1,5,14,E
크림빵_바닐라크로캉롱슈,빵 및 과자류,314,4.65,15.12,13.95,47.0,,3,3,3,0,5,14,E
크림빵_부드러운모카크림빵,빵 및 과자류,407,5.71,17.14,11.43,314.0,,3,3,3,1,5,15,E
크림빵_부드러운후레쉬크림샌드빵,빵 및 과자류,385,6.2,12.96,12.39,324.0,,3,3,3,1,5,15,E
크림빵_브리오슈슈크레,빵 및 과자류,740,8.0,37.33,26.67,440.0,,3,3,3,2,5,16,E
크림빵_생크림빵,빵 및 과자류,310,7.14,10.0,11.43,419.0,,3,2,3,2,5,15,E
와플_플레인 크로플,빵 및 과자류,414,7.81,12.5,9.38,344.0,,3,3,3,2,5,16,E
와플_허니브레드 와플,빵 및 과자류,302,3.33,20.83,6.67,302.0,,3,3,2,1,5,14,E
크림빵_스노우쿠키슈,빵 및 과자류,320,6.0,12.0,14.0,198.0,,3,2,3,1,5,14,E
크로켓(고로케)_매콤에그마요 고로케,빵 및 과자류,290,9.0,5.0,4.3,470.0,,3,1,2,3,5,14,E
크로켓(고로케)_치즈퐁당감자 고로케,빵 및 과자류,339,10.48,10.48,6.19,412.0,,3,2,2,2,5,14,E
피자_모짜렐라치즈 피자,빵 및 과자류,289,11.34,4.12,5.15,484.0,,3,1,2,3,5,14,E
크림빵_고소한 흑임자크림빵,빵 및 과자류,328,5.97,13.43,11.94,194.0,,3,3,3,1,5,15,E
크림빵_까까웨뜨,빵 및 과자류,407,8.64,14.81,12.35,284.0,,3,3,3,1,5,15,E
크림빵_나눠먹는크림빵,빵 및 과자류,428,7.0,19.0,12.0,470.0,,3,3,3,3,5,17,E
크림빵_시원하게 즐기는 메론빵,빵 및 과자류,327,5.45,15.45,6.36,218.0,,3,3,2,1,5,14,E
샌드위치_프룻티아 오 샌드 스트로베리,빵 및 과자류,344,6.25,10.0,11.25,325.0,,3,2,3,1,5,14,E
크로켓(고로케)_매콤치킨 고로케,빵 및 과자류,324,11.11,6.06,3.74,460.0,,3,1,2,3,5,14,E
크로켓(고로케)_크림치즈 고로케,빵 및 과자류,380,7.5,11.25,9.25,191.0,,3,2,3,1,5,14,E
와플_플레인 크로플,빵 및 과자류,439,8.93,7.14,14.29,450.0,,3,1,3,2,5,14,E
크로와상_초코생크림 크로와상,빵 및 과자류,475,5.56,13.89,22.22,236.0,,3,3,3,1,5,15,E
치즈빵_달콤한고르곤졸라,빵 및 과자류,308,8.97,11.54,8.97,423.0,,3,2,3,2,5,15,E
번_카페모카빵 (소),빵 및 과자류,379,9.09,21.21,7.58,303.0,,3,3,3,1,5,15,E
번_카페모카빵 (대),빵 및 과자류,381,8.68,21.13,7.55,306.0,,3,3,3,1,5,15,E
번_치즈번,빵 및 과자류,392,6.67,16.67,10.0,233.0,,3,3,3,1,5,15,E
번_초코번,빵 및 과자류,396,8.42,16.84,5.26,319.0,,3,3,2,1,5,14,E
번_악마의 크림번,빵 및 과자류,304,5.71,8.57,9.52,252.0,,3,2,3,1,5,14,E
치즈빵_화이트치즈볼 (1개입),빵 및 과자류,357,5.71,14.29,7.71,514.0,,3,3,3,3,5,17,E
번_악마의 초코번,빵 및 과자류,304,5.66,8.49,9.43,260.0,,3,2,3,1,5,14,E
치즈빵_햄치즈조리빵,빵 및 과자류,350,8.57,10.0,5.57,386.0,,3,2,2,2,5,14,E
번_아몬드모카빵,빵 및 과자류,352,9.0,20.0,4.2,347.0,,3,3,2,2,5,15,E
치즈빵_파르메산,빵 및 과자류,298,1.21,9.7,5.45,341.0,,3,2,2,2,5,14,E
허니브레드_메이플 넛 브레드,빵 및 과자류,336,7.14,12.61,10.3,275.0,,3,3,3,1,5,15,E
와플_플레인 크로플,빵 및 과자류,435,8.62,12.24,14.48,435.0,,3,3,3,2,5,16,E
케이크_생크림소프트쉬폰 케이크,빵 및 과자류,378,21.95,14.23,11.79,122.0,,3,3,3,0,5,14,E
케이크_레드벨벳 케이크,빵 및 과자류,336,5.0,23.38,3.13,403.0,,3,3,1,2,5,14,E
와플_플레인 크로플,빵 및 과자류,425,7.81,18.91,13.13,394.0,,3,3,3,2,5,16,E
크로켓(고로케)_납작김치고로전,빵 및 과자류,304,6.4,8.0,2.8,488.0,,3,2,1,3,5,14,E
